特賞フラグ,特賞名,（代表者名）,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,(都道府県名),都道府県名
1,農林水産大臣賞,皿井　昌幸,皿井　昌幸,277154,ﾒﾃﾞｨﾆﾗ M.'ﾌﾗﾒﾝｺ',8,1,愛知県　,愛知県
2,生産局長賞,近藤　基美,近藤　基美,277640,ﾓﾝｽﾃﾗ'ｱﾀﾞﾝｿﾆｰ',7.5,1,愛知県　,愛知県
3,東海農政局長賞,神谷　幹秀,神谷　幹秀,278041,ｸﾛﾄﾝ,6,5,愛知県　,愛知県
4,愛知県知事賞(豊和会会長賞),河合　康之,河合　康之,276984,ｱﾝｽﾘｳﾑ A.'MF.ﾎﾞﾙﾄﾞｰ',7,1,愛知県　,愛知県
5,岐阜県知事賞(豊明花き社長賞),加藤　孝義,加藤　孝義,278787,ﾌﾟﾚｲｵｽﾋﾟﾛｽ'ﾚｲﾜﾉﾓﾓｺ',2.5,20,岐阜県　,岐阜県
6,三重県知事賞(豊成会会長賞),藤井　保之,藤井　保之,278031,ﾊﾟﾙﾃﾉｼｯｻｽ'ｼｭｶﾞｰﾊﾞｲﾝ',3.5,20,三重県　,三重県
7,名古屋市長賞,皿井　喜清,皿井　喜清,277062,ﾄﾞﾗｾﾅ ｶﾝﾎﾞﾃﾞｨｱﾅ,10,1,愛知県　,愛知県
8,豊明市長賞,小松　英雄,小松　英雄,277778,ｱﾝｽﾘｳﾑ A.'ﾘﾘｰ',5,5,愛知県　,愛知県
9,愛知県経済農業協同組合連合会会長賞,山田　有也,山田　有也,273261,ﾌｨﾛﾃﾞﾝ'ﾊﾞｰｷﾝ',6,5,愛知県　,愛知県
10,愛知県花き温室園芸組合連合会会長賞,石川　孝治,石川　孝治,277739,ﾍﾟﾍﾟﾛﾐｱ ｶﾍﾟﾗｰﾀ'ﾛｯｿ',3,15,愛知県　,愛知県
11,岐阜県園芸特産振興会会長賞,沢部　昇,沢部　昇,276041,ｻﾝｾﾍﾞﾘｱ,6,5,岐阜県　,岐阜県
12,三重県花植木振興会会長賞,三田　憲一,三田　憲一,278627,ｸﾛﾄﾝ ﾄﾋﾞﾊ,5,5,三重県　,三重県
13,ＮＨＫ名古屋放送局長賞,花井　充,花井　充,276995,ﾌﾟﾃﾘｽ ｽﾄﾗﾐﾈｱ,6.5,4,愛知県　,愛知県
14,豊明市商工会会長賞,山本　勲,山本　勲,277460,ｵｸﾅ ｾﾙﾗｰﾀ,7,1,愛知県　,愛知県
15,屋内緑化推進協議会会長賞,水谷　滝光,水谷　滝光,277577,ﾓﾝｽﾃﾗ(ﾌｲﾘ),8,1,愛知県　,愛知県
16,(公社)園芸文化協会会長賞,米津　徳浩,米津　徳浩,278245,ｱﾝｽﾘｳﾑ A.'ﾈﾊﾞﾀﾞ',5,6,愛知県　,愛知県
18,東海地域花き普及･振興協議会会長賞,大岩　徳夫,大岩　徳夫,277178,ｱｼﾞｱﾝﾀﾑ ﾐｸﾛﾌｨﾗﾑ,2.5,24,愛知県　,愛知県
19,愛知豊明花き流通協同組合理事長賞,大岩　辰男,大岩　辰男,277179,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',7,1,愛知県　,愛知県
20,日本植物運輸㈱社長賞,浅野　夏司,浅野　夏司,276947,ﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',4.5,8,愛知県　,愛知県
