特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,品評会大賞(愛知豊明花き流通協同組合理事長賞),立光真一郎,435787,ｱﾝｽﾘｳﾑ A.'ｼﾞｮﾘﾌﾞﾗｯｼｭ',4.5,1,長崎県
2,品評会準大賞,片岡豊,436155,ﾎﾟﾄｽ,7,1,静岡県
3,千葉県知事賞,井口繁樹,547681,ﾌｨｶｽ ﾍﾞﾝｶﾞﾚﾝｼｽ'ｵｰﾄﾞﾘｰ',7,1,千葉県
4,静岡県知事賞,鈴木則和,547720,ﾌｨﾛﾃﾞﾝ'ﾊﾞｰｷﾝ',6,1,静岡県
5,鹿児島県知事賞,下柳田正人,434992,ﾎﾟﾘｼｬｽ S.'ﾌﾘｽﾋﾞｰ ｽﾏｲﾙ',8,1,鹿児島県
6,沖縄県知事賞,天久学,432587,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,10,1,沖縄県
7,指宿市長賞,千田智章,432986,ｼﾏﾄﾈﾘｺ,7,1,鹿児島県
8,千葉県花き園芸組合連合会会長賞,林健一郎,436897,ｸﾞｽﾞﾏﾆｱ,10,1,千葉県
9,静岡県鉢物生産振興会会長賞,大杉崇記,547719,ﾊﾟｷﾗ ｱｸｱﾃｨｶ,10,1,静岡県
10,鹿児島県花き振興会会長賞,廣森久聴,436130,ﾄﾞﾗｾﾅ ｶﾝﾎﾞﾃﾞｨｱﾅ,13,1,鹿児島県
11,沖縄県花き園芸協会会長賞,比嘉悟,432582,ﾄﾞﾗｾﾅ C.'ﾄﾘｶﾗｰ',8,1,沖縄県
12,(一社)日本花き卸売市場協会会長賞,杉本佑貴,432376,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,8,1,福岡県
13,(一財)日本花普及ｾﾝﾀｰ会長賞,波左間廣美,434181,ﾃﾞﾍﾝﾊﾞｷｱ'ｸｰﾙﾋﾞｭｰﾃｨｰ',5,1,福岡県
14,愛知園芸商組合理事長賞,漢那憲,432563,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',8,1,沖縄県
15,屋内緑化推進協議会会長賞,青木健,438531,ｿﾌｫﾗ ﾌﾟﾛｽﾄﾗｰﾀ'ﾘﾄﾙﾍﾞｲﾋﾞｰ',5,1,長野県
16,(公社)園芸文化協会会長賞,ピュアグリーン（株）山田農園,432611,ﾌｨｶｽ ﾍﾞﾝｶﾞﾚﾝｼｽ,5,1,沖縄県
17,ＮＨＫ出版賞,大城保寿,432573,ｶﾞｼﾞｭﾏﾙ(ﾀｲﾜﾝ),8,1,沖縄県
18,東海地域花き普及･振興協議会会長賞,島田明彦,436664,ﾀﾆｸｼｮｸﾌﾞﾂ,3,1,群馬県
19,豊成会会長賞,枝川清,432626,ﾂﾋﾟﾀﾞﾝｻｽ ｶﾘﾌﾟﾄﾗﾂｽ,10,1,沖縄県
20,豊和会会長賞,木村猛,436680,ﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',8,1,埼玉県
21,豊明花き㈱社長賞,下川正美,433037,ﾎﾟﾘｼｬｽ'ｽﾉｰﾌﾟﾘﾝｾｽ'(ﾌｲﾘ),4,1,福岡県
22,日本植物運輸㈱社長賞,加瀬哲男,436308,ｸﾛﾎｳｼ,2.5,1,千葉県
