特賞フラグ,特賞名,（代表者名）,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,(都道府県名),都道府県名
50,品評会大賞(愛知豊明花き流通協同組合理事長賞),立光　真一郎,立光　真一郎,273856,ｱﾝｽﾘｳﾑ A.'ｱﾏﾘｱｴﾚｶﾞﾝｽ',7,2,長崎県　,長崎県
51,品評会準大賞　　　,片岡　豊,片岡　豊,276344,ﾎﾟﾄｽ'ｽﾃｰﾀｽ',7,1,静岡県　,静岡県
58,千葉県知事賞,古川　定男,古川　定男,276975,ﾍﾟﾃﾞｨﾗﾝｻｽ T.'ﾀﾞｲｷﾞﾝﾘｭｳ',8,1,千葉県　,千葉県
61,静岡県知事賞(奨励賞),村松　厚一,村松　厚一,274067,ｶﾝﾉﾝﾁｸ'ｱﾔﾆｼｷ',12,1,静岡県　,静岡県
67,鹿児島県知事賞,下柳田　正人,下柳田　正人,271890,ﾃﾞｨﾚﾆｱ ﾌｨﾘﾋﾟﾈﾝｼｽ,8,1,鹿児島県,鹿児島県
68,沖縄県知事賞,天久　学,天久　学,271373,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県　,沖縄県
69,指宿市長賞　　　(努力賞),弓指　隆男,弓指　隆男,271883,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,10,1,鹿児島県,鹿児島県
76,千葉県花き園芸組合連合会会長賞,井口　繁樹,井口　繁樹,276964,ｶﾘｯｼｱ'ﾛｻﾞｰﾄ',3,24,千葉県　,千葉県
79,静岡県鉢物生産振興会会長賞,鈴木　則和,鈴木　則和,277441,ﾌｨｶｽ ﾙﾋﾞｷﾞﾉｰｻ(ﾌﾗﾝｽｺﾞﾑ),5,6,静岡県　,静岡県
84,鹿児島県花き振興会会長賞,下曽山　茂人,下曽山　茂人,271912,ﾊｼﾗｻﾎﾞﾃﾝ,10,1,鹿児島県,鹿児島県
85,沖縄県花き園芸協会会長賞,仲村　智昌,仲村　智昌,271338,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',12,1,沖縄県　,沖縄県
86,(一社)日本花き卸売市場協会会長賞,島袋　真史,島袋　真史,271332,ｼｪﾌﾚﾗ A.'ｺﾝﾊﾟｸﾀ',4,5,沖縄県　,沖縄県
87,(一財)日本花普及ｾﾝﾀｰ会長賞,波左間　廣美,波左間　廣美,272988,ﾃﾞﾍﾝﾊﾞｷｱ'ｸｰﾙﾋﾞｭｰﾃｨｰ',7,2,福岡県　,福岡県
88,愛知園芸商組合理事長賞　,登川　良雄,登川　良雄,271347,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県　,沖縄県
89,屋内緑化推進協議会会長賞,冨田　実央,冨田　実央,276806,ﾄﾞﾗｾﾅ'ｺﾞｰﾙﾄﾞｺｰﾄﾞ',8,1,埼玉県　,埼玉県
90,(公社)園芸文化協会会長賞,漢那　憲,漢那　憲,271357,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',8,1,沖縄県　,沖縄県
93,㈱花卉園芸新聞社賞,下川　正美,下川　正美,272113,ｽｰﾊﾟｰｱﾚｶﾔｼ,7,6,福岡県　,福岡県
94,㈱誠文堂新光社「農耕と園芸」賞,長島　昭彦,長島　昭彦,277777,ｶﾗﾃｱ ｵﾙﾋﾞﾌｫﾘｱ,7,1,愛知県　,愛知県
96,東海地域花き普及･振興協議会会長賞,田中　喜巳,田中　喜巳,271858,ｼｪﾌﾚﾗ ﾍﾞﾇﾛｰｻ,6,3,鹿児島県,鹿児島県
97,豊成会会長賞,田原迫　正一,田原迫　正一,271864,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,10,1,鹿児島県,鹿児島県
98,豊和会会長賞,高橋　繁之,高橋　繁之,276969,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,10,1,千葉県　,千葉県
99,豊明花き㈱社長賞,諸留　茂美,諸留　茂美,271905,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',10,1,鹿児島県,鹿児島県
100,日本植物運輸㈱社長賞,大杉　崇記,大杉　崇記,277449,ｻﾝｾﾍﾞﾘｱ ﾛﾌﾞｽﾀ,7,1,静岡県　,静岡県
